Kanji|JLPT-test|GPT-PT-BR|word1|reading1|translation1|word2|reading2|translation2|word3|reading3|translation3
謹|1|Respeito|謹賀新年|きんがしんねん|Feliz Ano Novo|謹慎|きんしん|Cautela|謹言|きんげん|Palavras respeitosas
襟|1|Colarinho|襟元|えりもと|na gola|襟掛け|えりかけ|gola de casaco|襟足|えりあし|parte de trás da gola
吟|1|Cantar, recitar|吟詠|ぎんえい|recitação poética|吟味|ぎんみ|sopesar, examinar|吟歌|ぎんか|cancioneiro, cântico
銀|4|Prata|銀曜日|ぎんようび|quinta-feira|銀貨|ぎんか|moeda de prata|銀色|ぎんいろ|cor prata
区|3|Distrito, Área|区役所|くやくしょ|prefeitura de distrito|区分|くぶん|divisão|区域|くいき|zona
句|1|Frase, sentenç|句読点|くとうてん|pontuação|句|く|frase|詩句|しく|verso
苦|3|Sofrimento, dor|苦しい|くるしい|difícil|苦痛|くつう|dor|苦い|にがい|amargo
駆|1|Dirigir, Acelerar|駆ける|かける|correr|駆動|くどう|acionamento|駆逐|くちく|aniquilação
具|3|Ferramenta, ingrediente|具合|ぐあい|estado, condição|具材|ぐざい|ingredientes|具現化|ぐげんか|materialização
惧|0|Medo|惧れる|おそれる|temer|恐惧|きょうく|pânico|惧れ|おそれ|medo
愚|1|Tolo, Estúpido|愚か|おろか|tolo|愚者|ぐしゃ|estúpido|愚弄|ぐろう|zombar
空|4|Vazio, Céu|空気|くうき|ar|空港|くうこう|aeroporto|空想|くうそう|fantasia
偶|3|Ocasional|偶然|ぐうぜん|acaso|偶像|ぐうぞう|ídolo|偶耳|ぐうじ|ouvido casual
遇|1|Encontrar, Experiência|遇う|あう|encontrar|遇遇|ぐうぐう|encontro (informal)|遭遇|そうぐう|encontro (acidente)
隅|2|Canto|隅田川|すみだがわ|Rio Sumida|隅っこ|すみっこ|Canto|隅切り|すみきり|Canto cortado
串|0|Espeto|串焼き|くしやき|espetinho|串刺し|くしざし|espetado|串カツ|くしかつ|espetinho frito
屈|1|Curvar, Dobrar|屈折|くっせつ|refração|屈辱|くつじょく|humilhação|屈み|かがみ|curvar-se
掘|2|Cavar|掘る|ほる|cavar|掘削|くっさく|escavação|発掘|はっくつ|excavação (arqueológica)
窟|0|Gruta, caverna|洞窟|どうくつ|caverna|墓窟|ばくつ|túmulo|石窟|せきくつ|gruta de pedra
熊|1|Urso|熊本|くまもと|Kumamoto|熊|くま|urso|黒熊|くろぐま|urso negro
繰|1|Repetir, Enrolar|繰り返す|くりかえす|repetir|繰り出す|くりだす|produzir|繰り込み|くりこみ|inserção
君|3|Você, Senhor|君主|くんしゅ|súdito, governante|君が代|きみがよ|o hino nacional do Japão|君友|きみとも|amigo de você
訓|2|Instrução, ensino|訓読み|くんよみ|leitura japonesa|訓練|くんれん|treinamento|訓告|くんこく|profecia
勲|1|Mérito, Honra|勲章|くんしょう|medalha|勲記|くんき|relatório de mérito|勲功|くんこう|realização
薫|1|Fragrância|薫る|かおる|exalar (fragrância)|薫製|くんせい|defumação|薫風|くんぷう|vento fragrante
軍|2|Exército, Forças Armadas|軍隊|ぐんたい|tropa|軍人|ぐんじん|militar|軍事|ぐんじ|militarismo
郡|1|Condado|郡部|ぐんぶ|zona rural|郡境|ぐんきょう|fronteira do condado|郡名|ぐんめい|nome do condado
群|2|Grupo|群れ|むれ|bando|群衆|ぐんしゅう|multidão|群島|ぐんとう|arquipélago
兄|4|Irmão mais velho|兄弟|きょうだい|irmãos|お兄さん|おにいさん|irmão mais velho|兄貴|あにき|irmão mais velho (casual)
刑|1|Pena, punição|刑罰|けいばつ|pena|刑事|けいじ|policial|死刑|しけい|pena de morte
形|3|Forma, formato|形状|けいじょう|forma, forma externa|形態|けいたい|forma, modo|形作る|かたちづくる|formar, moldar
系|1|Sistema, linha|系統|けいとう|linhagem|系の|けいの|relacionado a sistema|系譜|けいふ|genealogia
径|1|Diâmetro|径路|けいろ|caminho|半径|はんけい|raio|径寸|けいすん|dimensões do diâmetro
茎|1|Caule|茎果|けいか|fruto do caule|茎部|けいぶ|parte do caule|茎立ち|けいだち|caule ereto
係|3|Relação, Conexão|係員|かかりいん|funcionário, responsável|関係|かんけい|relação, conexão|係る|かかる|estar relacionado
型|2|Modelo, Forma|型紙|かたがみ|molde de papel|型號|かたごう|modelo (de produto)|型式|かたしき|formato
契|1|Contrato, Acordo|契約|けいやく|contrato|契機|けいき|oportunidade|契約者|けいやくしゃ|contratante
計|4|Planejamento, Cálculo|計画|けいかく|planejamento|計算|けいさん|cálculo|計測|けいそく|medição
恵|2|Bênção, Graça|恵み|めぐみ|graça|恵まれる|めぐまれる|ser abençoado|恵方|えほう|direção abençoada
啓|1|Revelar, Abrir|啓蒙|けいもう|iluminação (do conhecimento)|啓示|けいじ|revelação|啓発|けいはつ|despertar (interesse ou consciência)
掲|1|Exibir, Mostrar|掲示|けいじ|anúncio|掲示板|けいじばん|quadro de avisos|掲額|けいがく|placa
渓|1|Vale|渓谷|けいこく|vale, canyon|渓流|けいりゅう|riacho, correnteza|渓梅|けいばい|ameixa de vale
経|3|Economia, passar|経済|けいざい|economia|経路|けいろ|rota|経過|けいか|transcurso
蛍|1|Vaga-lume|蛍光灯|けいこうとう|lâmpada fluorescente|蛍|ほたる|vaga-lume|火蛍|ひほたる|vaga-lume de fogo
敬|2|Respeito|敬語|けいご|linguagem respeitosa|敬意|けいい|respeito|敬遠|けいえん|evitar por respeito
景|3|Cenário, Paisagem|景色|けしき|paisagem|景観|けいかん|vista|風景|ふうけい|cenário
軽|3|Leve|軽自動車|けいじどうしゃ|carro leve|軽快|けいかい|alegre, leve|軽度|けいど|leve, moderado
傾|2|Inclinação|傾斜|けいしゃ|inclinação|傾く|かたむく|inclinar-se|傾聴|けいちょう|escutar atentamente
携|1|Levar, Conduzir|携帯|けいたい|celular|携わる|たずさわる|estar envolvido|携手|けいしゅ|mãos unidas
継|1|Sucessão, Continuação|継続|けいぞく|continuação|継承|けいしょう|herança|継子|ままこ|enteado
詣|0|Visita, culto|詣でる|もうでる|visitar (um templo)|詣客|もうけつ|devoto, visitante|詣り|まいり|visita (a um santuário)
慶|1|Felicidade, celebração|慶事|けいじ|evento festivo|慶ぶ|よろこぶ|alegrar-se|慶応|けいおう|celebração
憬|0|Desejo, Aspiração|憧れ|あこがれ|anseio, admiração|憬る|あこがれる|desejar, anseiar|憬望|けいぼう|aspiração, ideal
稽|0|Estudo, Prática|稽古|けいこ|prática, treino|稽古台|けいこだい|plataforma de prática|稽古人|けいこびと|praticante
憩|1|Descanso|憩い|いこい|descanso|憩う|いこう|relaxar|憩所|いこいどころ|local de descanso
警|3|Polícia, Alerta|警察|けいさつ|polícia|警告|けいこく|aviso|警備|けいび|segurança
鶏|1|Frango, Galo|鶏肉|とりにく|carne de frango|鶏卵|けいらん|ovo de galinha|鶏の声|にわとりのこえ|canto do galo
芸|2|Arte|芸術|げいじゅつ|arte|芸人|げいにん|humorista|芸能|げいのう|entretenimento
迎|3|Receber|迎える|むかえる|receber|迎えに行く|むかえにいく|ir buscar|歓迎|かんげい|boas-vindas
鯨|1|Baleia|鯨酒|くじらざけ|sake de baleia|鯨肉|くじらにく|carne de baleia|鯨類|くじらるい|cetáceos
隙|0|Espaço, Fenda|隙間|すきま|fenda, intervalo|隙だらけ|すきだらけ|cheio de fendas|隙を作る|すきをつくる|criar uma abertura
劇|2|Teatro, Drama|劇場|げきじょう|teatro|演劇|えんげき|drama|劇団|げきだん|trupe teatral
撃|1|Bater, Atacar|撃退|げきたい|Repelir|撃音|げきおん|Som do tiro|撃破|げきは|Destruição
激|1|Intenso, violento|激しい|はげしい|violento|激怒|げきど|fúria|感激|かんげき|emoção
桁|0|Dígito, Coluna|桁数|けたすう|número de dígitos|桁違い|けたちがい|desigualdade de dígitos|桁数扱い|けたすうあつかい|manipulação de número de dígitos
欠|3|Falta, Defeito|欠席|けっせき|ausência|欠点|けってん|defeito|欠ける|かける|faltando
穴|1|Buraco|穴子|あなご|engenheiro (peixe)|穴埋め|あなうめ|preenchimento de buracos|穴開け|あなあけ|fazer um buraco
血|2|Sangue|血液|けつえき|sangue|血圧|けつあつ|pressão arterial|出血|しゅっけつ|sangramento
決|3|Decisão, Determinação|決定|けってい|decisão|決意|けつい|determinação|決勝|けっしょう|final
結|1|Conexão, união|結婚|けっこん|casamento|結論|けつろん|conclusão|結束|けっそく|união
傑|1|Excelente, Notável|傑作|けっさく|obra-prima|傑出|けっしゅつ|extraordinário|傑人|けつじん|pessoa notável
潔|1|Pureza, Limpeza|潔癖|けっぺき|mansidão|潔い|いさぎよい|corajoso|潔さ|いさぎよさ|pureza
月|5|Mês, Lua|月曜日|げつようび|segunda-feira|月|つき|lua|今月|こんげつ|este mês
犬|4|Cachorro|犬猫|いぬねこ|cachorro e gato|犬好き|いぬずき|amante de cães|犬小屋|いぬごや|casinha de cachorro
件|3|Item, assunto|案件|あんけん|caso, proposta|件数|けんすう|número de itens|事件|じけん|incidente
見|5|Ver, Olhar|見える|みえる|pode ver|見る|みる|ver|見学|けんがく|visita de estudo
券|2|Bilhete, passagem|切符|きっぷ|bilhete|券売機|けんばいき|máquina de venda de bilhetes|前売券|まえうりけん|ingresso antecipado
肩|2|Ombro|肩書き|かたがき|título, cargo|肩身|かたみ|omstro, espaço pessoal|肩こり|かたこり|tensão nos ombros
建|4|Construção|建物|たてもの|edifício|建設|けんせつ|construção|建てる|たてる|construir
研|4|Aprofundar, Estudar|研修|けんしゅう|treinamento|研究|けんきゅう|pesquisa|研ぎ|とぎ|afiamento
県|3|Prefeitura, Província|県庁|けんちょう|prefeitura|県外|けんがい|fora da província|県民|けんみん|habitante da província
倹|1|Economia, Economia|倹約|けんやく|economia, frugalidade|倹しい|けんしい|econômico, frugal|倹約家|けんやくか|pessoa econômica
兼|1|Combinação, Dupla|兼ねる|かねる|combinar|兼職|けんしょく|trabalho duplo|兼用|けんよう|uso duplo
剣|1|Espada|剣士|けんし|espadachim|剣道|けんどう|esgrima|剣術|けんじゅつ|técnica da espada
拳|1|Punho|拳銃|けんじゅう|revólver|拳法|けんぽう|karatê|拳撃|けんげき|soco
軒|2|Telhado|軒先|のきさき|beiral|軒下|のきした|debaixo do telhado|軒数|けんすう|número de telhados
健|2|Saudável, Forte|健康|けんこう|saúde|健全|けんぜん|são, sadio|健身|けんしん|exercício físico
険|3|Perigo, Ácido|険しい|けわしい|íngreme|険悪|けんあく|hostil|険しい道|けわしいみち|caminho perigoso
圏|1|Área, Região|圏外|けんがい|fora de área|圏内|けんない|dentro da área|地域圏|ちいきけん|zona regional
堅|1|Duro, Sólido|堅い|かたい|duro|堅実|けんじつ|sólido, firme|堅牢|けんろう|forte, resistente
検|1|Teste, Verificação|検査|けんさ|exame|検討|けんとう|consideração|検証|けんしょう|verificação
嫌|1|Desgostar, Odiar|嫌い|きらい|desgosto|嫌悪|けんお|repulsa|嫌がる|いやがる|ter aversão
献|1|Oferta, Doação|献血|けんけつ|doação de sangue|献立|こんだて|menu|献身|けんしん|dedicação
絹|1|Seda|絹糸|きぬいと|fio de seda|絹ごし|きぬごし|tofu de seda|絹織物|きぬおりもの|tecido de seda
遣|1|Enviar, usar|遣い|つかい|mensageiro|遣る|やる|dar, enviar|遣費|けんひ|despesa de envio
権|3|Poder, Autoridade|権力|けんりょく|poder político|権利|けんり|direito|権威|けんい|autoridade
憲|1|Constituição|憲法|けんぽう|constituição|憲政|けんせい|governo constitucional|憲議|けんぎ|discussão constitucional
賢|2|Sábio|賢者|けんじゃ|sábio|賢い|かしこい|inteligente|賢能|けんのう|habilidoso
謙|1|Humildade|謙虚|けんきょ|humilde|謙遜|けんそん|modéstia|謙譲|けんじょう|sussurro
鍵|0|Chave|鍵盤|けんばん|teclado|鍵屋|かぎや|chaveiro|鍵付|かぎつき|com chave
繭|1|Casulo|絹繭|きぬまゆ|casulo de seda|繭虫|まゆむし|bicho-da-seda|蚕繭|さんまゆ|casulo de bicho-da-seda
顕|1|Evidente, Claro|顕著|けんちょ|notável|顕現|けんげん|manifestação|顕在|けんざい|evidente
験|4|Experiência|経験|けいけん|experiência|試験|しけん|teste|験証|げんしょう|evidência
懸|1|Suspender, pendurar|懸念|けねん|preocupação|懸賞|けんしょう|prêmio|懸命|けんめい|esforço
元|4|Origem, Fonte|元日|がんじつ|Ano Novo|元気|げんき|Saudável, Energético|元々|もともと|Originalmente
幻|1|Ilusão, Fantasia|幻影|げんえい|ilusão|幻想|げんそう|fantasia|幻聴|げんちょう|alucinação auditiva
玄|1|Misterioso|玄関|げんかん|entrada (da casa)|玄米|げんまい|arroz integral|玄武|げんぶ|tartaruga mítica
言|4|Palavra, Fala|言葉|ことば|palavra|言う|いう|dizer|言論|げんろん|discurso
弦|1|Corda|弦楽器|げんがっき|instrumento de corda|弦音|げんおん|som da corda|弦律|げんりつ|melodia da corda
限|3|Limite|限界|げんかい|limite, fronteira|制限|せいげん|restrição|限られる|かぎられる|ser limitado
原|3|Origem, Básico|原因|げんいん|causa|原料|げんりょう|matéria-prima|原始|げんし|primitivo
現|3|Atual, presente|現実|げんじつ|realidade|現象|げんしょう|fenômeno|現れる|あらわれる|aparecer
舷|0|Bordo|舷側|げんせき|lado do navio|舷門|げんもん|porta de entrada do barco|舷灯|げんとう|lanterna de bordo
減|2|Reduzir|減少|げんしょう|diminuição|減税|げんぜい|redução de impostos|減速|げんそく|desaceleração
源|1|Fonte, origem|源泉|げんせん|fonte|源流|げんりゅう|curso de água|源氏|げんじ|clã Genji
厳|1|Severo, Estrito|厳しい|きびしい|severo|厳格|げんかく|estrito|厳選|げんせん|seletivo
己|1|Si mesmo|己|おのれ|eu mesmo|自己|じこ|auto|自我|じが|ego
戸|2|Porta, entrada|戸口|こぐち|entrada|戸閉め|とじめ|fechamento da porta|戸村|とむら|vila de portas
古|4|Antigo|古代|こだい|antiguidade|古本|ふるほん|livro usado|古い|ふるい|velho
呼|3|Chamar|呼吸|こきゅう|respiração|呼びかけ|よびかけ|chamado|呼ぶ|よぶ|chamar
固|2|Duro, Sólido|固体|こたい|sólido|固まる|かたまる|solidificar|固有|こゆう|próprio
股|0|Coxa, Quadril|股関節|こかんせつ|articulação do quadril|股間|こかん|entrepernas|股裂|またわれ|fenda na coxa
虎|1|Tigre|虎豹|こひょう|tigre e leopardo|虎視眈眈|こしたんたん|observando pacientemente (como um tigre)|白虎|びゃっこ|tigre branco
孤|1|Solidão|孤独|こどく|solidão|孤立|こりつ|isolamento|孤児|こじ|órfão
弧|1|Arco|弧状|こじょう|em forma de arco|弧線|こせん|curva|円弧|えんこ|arco de círculo
故|2|Causa, Morte|故障|こしょう|quebra|故人|こじん|falecido|故郷|こきょう|cidade natal
枯|2|Seco, murchar|枯れ木|かれき|árvore seca|枯れ草|かれくさ|grama seca|枯れる|かれる|murchar
個|2|Indivíduo, Pessoal|個人|こじん|indivíduo|個別|こべつ|individual|個数|こすう|número de unidades
庫|2|Depósito, Armazém|倉庫|そうこ|armazém|冷蔵庫|れいぞうこ|geladeira|宝庫|ほうこ|tesouro
湖|2|Lago|湖面|こめん|superfície do lago|湖水|こすい|água do lago|湖畔|こはん|margem do lago
雇|2|Contratar|雇用|こよう|emprego|雇う|やとう|contratar|雇い主|やといぬし|empregador
誇|1|Orgulho|誇り|ほこり|orgulho|誇張|こちょう|exagero|自誇|じこ|autoelogio
鼓|1|Tambor|鼓動|こどう|batimento (de coração)|鼓膜|こまく|tímpano|大鼓|おおか|tambor grande
錮|0|Trancado|錮地|ごち|lugar trancado|錮囚|こしゅう|prisioneiro trancado|錮塞|こそく|bloqueio trancado
顧|1|Cliente, Cair|顧客|こきゃく|cliente|顧みる|かえりみる|refletir|顧慮|こりょ|consideração
五|5|Cinco|五円|ごえん|cinco ienes|五感|ごかん|cinco sentidos|五月|ごがつ|maio
互|3|Mutuamente|互換|ごかん|intercambiável|互助|ごじょ|ajuda mútua|相互|そうご|recíproco
午|5|Meio-dia, tarde|午後|ごご|tarde|午前|ごぜん|manhã|午|ご|meio-dia
呉|1|Oferecer|呉服|ごふく|tecido tradicional|呉越|ごえつ|Wu e Yue (estados históricos da China)|呉戦|ごせん|guerra de Wu
後|5|Depois, trás|後ろ|うしろ|atrás|後者|こうしゃ|o segundo|最後|さいご|último
娯|1|Entretenimento|娯楽|ごらく|diversão|娯楽施設|ごらくしせつ|instalações de entretenimento|娯楽文化|ごらくぶんか|cultura de entretenimento
悟|1|Compreensão, Iluminação|悟る|さとる|compreender|覚悟|かくご|determinação|悟性|ごせい|percepção
碁|1|Go (jogo de tabuleiro)|碁石|ごいし|pedras de Go|囲碁|いご|Go (jogo de tabuleiro)|碁盤|ごばん|tabuleiro de Go
語|5|Linguagem, Palavra|言語|げんご|língua|語彙|ごい|vocabulário|言語学|げんごがく|linguística
誤|3|Erro|誤解|ごかい|mal-entendido|誤った|あやまった|errado|誤報|ごほう|notícia falsa
護|1|Proteção|護衛|ごえい|escolta|保護|ほご|proteção|護符|ごふ|talismã
口|4|Boca|口座|こうざ|conta (bancária)|口紅|くちべに|batom|出口|でぐち|saída
工|4|Trabalho, Engenho|工場|こうじょう|fábrica|工事|こうじ|construção|工業|こうぎょう|indústria
公|2|Público|公園|こうえん|parque|公務員|こうむいん|funcionário público|公正|こうせい|justo
勾|0|Curva, Gancho|勾配|こうばい|declive|勾玉|まがたま|jóia em forma de gancho|勾引|こういん|coação
孔|1|Buraco, orifício|孔雀|くじゃく|pavão|孔子|こうし|Confúcio|孔明|こうめい|Zhuge Liang
功|1|Êxito, mérito|功績|こうせき|realização|成功|せいこう|sucesso|功夫|くふう|esforço
巧|1|Habilidade, destreza|巧妙|こうみょう|sutil, astuto|巧芸|こうげい|habilidade artística|巧み|たくみ|habilidoso
広|4|Largo, amplo|広場|ひろば|praça|広い|ひろい|amplo|広げる|ひろげる|expandir
甲|1|Casco, armadura|甲虫|こうちゅう|besouro|甲冑|かっちゅう|armadura|甲高い|こうだかい|agudo
交|3|Interação, cruzar|交換|こうかん|troca|交通|こうつう|trânsito|交友|こうゆう|amizade
光|3|Luz|光線|こうせん|raio de luz|発光|はっこう|emissão de luz|光明|こうみょう|iluminação
向|3|Direção, Voltado|方向|ほうこう|direção|向き|むき|posição|向かう|むかう|dirigir-se
后|1|Depois, Atrás|后天|こうてん|depois de amanhã|後藤|ごとう|Goto (sobrenome)|後悔|こうかい|arrepender
好|3|Bom, gostar|好み|このみ|preferência|好奇心|こうきしん|curiosidade|好き|すき|gostar
江|1|Rio|江戸|えど|Tóquio antigo|河江|かこう|Rio de água|江川|えがわ|Rio Ega
考|4|Pensar, refletir|考える|かんがえる|pensar|考査|こうさ|exame|思考|しこう|pensamento
行|5|Ir|行く|いく|irmão, caminho|行動|こうどう|ação|行列|ぎょうれつ|fila
坑|1|Minério, mina|坑道|こうどう|galeria|鉱坑|こうこう|mina de minério|炭坑|たんこう|mina de carvão
孝|1|Filialidade|孝行|こうこう|filialidade (bons atos)|孝子|こうし|filho obediente|孝心|こうしん|coração filial
抗|1|Resistência, Antiemático|抗議|こうぎ|protesto|抗体|こうたい|anticorpo|抗生物質|こうせいぶっしつ|antibiótico
攻|1|Ataque|攻撃|こうげき|ataque|攻める|せめる|atacar|攻略|こうりゃく|estratégia de ataque
更|3|Mais, Além|更新|こうしん|atualização|更衣室|こういしつ|vestiário|更なる|さらなる|mais, adicional
効|2|Eficácia, eficiência|効果|こうか|efeito|効力|こうりょく|poder, eficácia|有効|ゆうこう|válido, efetivo
幸|3|Felicidade, Sorte|幸福|こうふく|felicidade|幸せ|しあわせ|sorte, felicidade|幸運|こううん|boa sorte
拘|1|Evidência, Reter|拘束|こうそく|restrição|拘腸|こうちょう|cólon|拘禁|こうきん|detenção
肯|2|Aprovar, Concordar|肯定|こうてい|afirmação|肯ける|うなずける|poder concordar|肯能|こうのう|habilidade
侯|1|Marquês|侯爵|こうしゃく|marquês|大侯|だいこう|grande marquês|侯国|こうこく|estado feudal
厚|2|Grosso, Espesso|厚い|あつい|grosso|厚み|あつみ|espessura|厚顔|こうがん|sem vergonha
恒|1|Constante, Perene|恒例|こうれい|tradição|恒久|こうきゅう|permanente|恒星|こうせい|estrela fixa
洪|1|Inundação|洪水|こうずい|inundação|洪水注意報|こうずいちゅういほう|aviso de inundação|洪亮|こうりょう|voz alta
皇|1|Imperador|皇帝|こうてい|imperador|皇后|こうごう|imperatriz|皇室|こうしつ|família imperial
紅|2|Cores, Vermelho|紅茶|こうちゃ|chá preto|紅葉|こうよう|folhas de outono|紅花|べにばな|flor vermelha
荒|2|Bruto, Rugoso|荒野|こうや|deserto|荒れ地|あれち|terra árida|荒々しい|あらあらしい|áspero
郊|2|Subúrbio|郊外|こうがい|subúrbio|郊野|こうや|zona rural|郊遊|こうゆう|excursão ao subúrbio
香|2|Aroma, Fragrância|香水|こうすい|perfume|香り|かおり|aroma|香辛料|こうしんりょう|temperos
候|3|Condição, clima|候補|こうほ|candidato|候文|こうぶん|carta formal|候合|こうごう|coincidência
校|5|Escola|学校|がっこう|escola|校長|こうちょう|diretor|校歌|こうか|hino escolar
耕|2|Cultivar|耕す|たがやす|cultivar|耕地|こうち|terreno cultivável|耕作|こうさく|cultivo
航|2|Navegação|航海|こうかい|navegação|航空|こうくう|aéreo|航路|こうろ|rota de navegação
貢|1|Contribuição, Oferecer|貢献|こうけん|contribuição|貢ぎ物|みつぎもの|tributo|貢税|こうぜい|imposto
降|3|Cair|降雨|こうう|chuva|降りる|おりる|descer|降雪|こうせつ|neve
高|5|Alto|高い|たかい|alto|高級|こうきゅう|luxuoso|高齢|こうれい|idade avançada
康|2|Saúde, Paz|健康|けんこう|saúde|安康|あんこう|paz e saúde|康復|こうふく|recuperação
控|1|Controle, restrição|控え室|ひかえしつ|sala de espera|控除|こうじょ|dedução|控える|ひかえる|açambar
梗|0|Caule, Stalk|花梗|かこう|caule de flor|茎梗|けいこう|caule|梗概|こうがい|resumo
黄|2|Amarelo|黄色|きいろ|amarelo|黄砂|こうさ|areia amarela|黄昏|たそがれ|crepúsculo
喉|0|Garganta|喉仏|のどぼとけ|pombo de adão|喉占|のどしめ|estertor|喉痛|のどいた|dor de garganta
慌|0|Apressado, confuso|慌てる|あわてる|apressar-se|慌ただしい|あわただしい|atarefado|慌てず|あわてず|calmamente
港|3|Porto|港町|みなとちょう|cidade portuária|港口|こうこう|entrada do porto|空港|くうこう|aeroporto
硬|2|Duro|硬貨|こうか|moeda|硬度|こうど|dureza|硬い|かたい|duro
絞|1|Espremer, apertar|絞る|しぼる|espremer|絞り|しぼり|técnica de espremer|絞殺|こうさつ|estrangulamento
項|1|Item, Seção|項目|こうもく|item|条件|じょうけん|condição|項再|こうさい|revisão de itens
溝|1|Canal, Trincheira|溝人|みぞびと|habitante da trincheira|溝蓋|みぞがい|tampa de canal|溝掃除|みぞそうじ|limpeza de canal
鉱|2|Minério|鉱山|こうざん|mina|鉱物|こうぶつ|mineral|鉱石|こうせき|minério
構|3|Construir, Compor|構造|こうぞう|estrutura|構える|かまえる|preparar|構成|こうせい|composição
綱|1|cabo, corda|綱引き|つなひき|puxar corda|綱|つな|cabo|綱領|こうりょう|plano, diretrizes
酵|1|Fermentação|酵母|こうぼ|fermento|酵素|こうそ|enzima|発酵|はっこう|fermentação
稿|1|Rascunho, Esboço|原稿|げんこう|manuscrito|草稿|そうこう|rascunho|下稿|げこう|esboço
興|1|Interesse, entusiasmo|興味|きょうみ|interesse|興奮|こうふん|excitação|興行|こうぎょう|espetáculo
衡|1|Equilíbrio, Medida|衡量|こうりょう|medir|平衡|へいこう|equilíbrio|衡器|こうき|balança
鋼|1|Aço|鋼鉄|こうてつ|aço|鋼材|こうざい|material de aço|鋼琴|こうきん|piano de aço
講|2|Conferência, Aula|講義|こうぎ|aula|講演|こうえん|conferência|講堂|こうどう|auditório
購|1|Comprar, Aquisição|購買|こうばい|compra|購読|こうどく|assinatura|購入|こうにゅう|aquisição
乞|0|Pedinchar, implorar|乞食|こじき|mendigo|乞う|こう|implorar|乞願|きがん|pedido
号|3|Número, Sinal|号泣|ごうきゅう|choro profundo|号令|ごうれい|comando|番号|ばんごう|número
合|3|Juntar, União|合格|ごうかく|aprovação|合う|あう|encontrar|合同|ごうどう|união
拷|1|Tortura|拷問|ごうもん|tortura|拷問官|ごうもんかん|torturador|拷問室|ごうもんしつ|sala de tortura
剛|1|Firme, Forte|剛力|ごうりき|força bruta|剛性|ごうせい|rigidez|剛胆|ごうたん|audacioso
傲|0|Arrogante, Orgulhoso|傲慢|ごうまん|arrogância|傲石|ごうせき|pedra arrogante|傲視|ごうし|visão arrogante
豪|1|Luxo, Grandeza|豪華|ごうか|luxuoso|豪族|ごうぞく|nobreza|豪快|ごうかい|espontâneo
克|1|Superar, Vencer|克服|こくふく|superação|克己|こっき|autocontrole|克利|かくり|ganho, lucro
告|3|Aviso, Notificação|告白|こくはく|confissão|告知|こくち|anúncio|告訴|こくそ|denúncia
谷|2|Vale|谷川|たにがわ|rio do vale|谷間|たにま|vale profundo|山谷|やまたに|vale da montanha
刻|3|Marcado, Criar|刻む|きざむ|cortar em fatias|時刻|じこく|hora|刻印|こくいん|selo
国|5|País, Nação|国籍|こくせき|nacionalidade|外国|がいこく|país estrangeiro|国家|こっか|Estado, nação
黒|4|Preto|黒猫|くろねこ|gato preto|黒い|くろい|preto|黒板|こくばん|quadro negro
穀|1|Grão, cereal|穀物|こくもつ|grãos|穀類|こくるい|cereais|穀霊|こくれい|espírito dos grãos
酷|1|Cruel, severo|酷い|ひどい|horrível|酷暑|こくしょ|calor extremo|酷似|こくじ|semelhança extrema
獄|1|Cárcere, Prisão|獄卒|ごくそつ|guarda de prisão|獄中|ごくちゅう|dentro da prisão|死獄|しごく|prisão perpétua
骨|2|Osso|骨折|こっせつ|fratura óssea|骨髄|こつずい|medula óssea|骨粗しょう症|こつそしょうしょう|osteoporose
駒|1|Cavalo, animal|駒込|こまごめ|Komagome|将棋駒|しょうぎこま|peça de shogi|駒車|こまぐるま|carro de tração
込|3|Incluso, Entrar|込む|こむ|encher, ser cheio|混込む|こんこむ|misturar, confundir|詰込む|つめこむ|encher, carregar
頃|0|Época, Tempo|頃|ころ|cerca de|時頃|じころ|por volta de|夕方頃|ゆうがたころ|cerca do entardecer
今|5|Agora|今週|こんしゅう|esta semana|今月|こんげつ|este mês|今夜|こんや|essa noite
困|3|Dificuldade, problema|困難|こんなん|dificuldade|困惑|こんわく|confusão|困る|こまる|estar em apuros
昆|1|Inseto, Crustáceo|昆虫|こんちゅう|inseto|昆布|こんぶ|alga|昆虫学|こんちゅうがく|entomologia
恨|1|Ódio, ressentimento|恨み|うらみ|ressentimento|恨む|うらむ|odiar|恨めしい|うらめしい|rancoroso
根|2|Raiz|根本|こんぽん|fundamento|根菜|こんさい|vegetal raiz|根性|こんじょう|determinação
婚|3|Casamento|婚約|こんやく|noivado|婚姻|こんいん|matrimônio|結婚|けっこん|casamento
混|2|Misturar, Confusão|混雑|こんざつ|congestionamento|混乱|こんらん|confusão|混合|こんごう|mistura
痕|0|Marca, Cicatriz|痕跡|こんせき|vestígio|傷痕|きずあと|cicatriz|痕害|こんがい|dano residual
紺|1|Azul escuro|紺色|こんいろ|cor azul escura|紺布|こんぷ|tecido azul escuro|紺碧|こんぺき|azul profundo
魂|1|Alma|魂魄|こんぱく|alma e espírito|魂の叫び|たましいのさけび|grito da alma|魂抜ける|たましいぬける|perder a alma
墾|1|Cultivar, Arar|墾田|こんでん|terreno cultivado|墾き|ひらき|preparar a terra|墾作|こんさく|atividades agrícolas
懇|1|Amigável|懇願|こんがん|suplicar|懇親|こんしん|amizade|懇談|こんだん|conversa
左|5|Esquerda|左手|ひだりて|mão esquerda|左側|ひだりがわ|lado esquerdo|左折|させつ|virar à esquerda
